,dateRep,cases,countriesAndTerritories,flag
6920,2020-01-08,0,Sri_Lanka,0.0
3634,2020-01-08,0,Iraq,0.0
2571,2020-01-08,0,Finland,0.0
7134,2020-01-08,0,Switzerland,0.0
1256,2020-01-08,0,Cambodia,0.0
614,2020-01-08,0,Azerbaijan,0.0
5377,2020-01-08,0,Nigeria,0.0
926,2020-01-08,0,Belgium,0.0
5178,2020-01-08,0,Netherlands,0.0
6837,2020-01-08,0,Spain,0.0
1906,2020-01-08,0,Czech_Republic,0.0
2797,2020-01-08,0,Georgia,0.0
4807,2020-01-08,0,Mexico,0.0
6062,2020-01-08,0,Qatar,0.0
1106,2020-01-08,0,Brazil,0.0
1769,2020-01-08,0,Croatia,0.0
3544,2020-01-08,0,Iran,0.0
4457,2020-01-08,0,Lithuania,0.0
6557,2020-01-08,0,Singapore,0.0
5086,2020-01-08,0,Nepal,0.0
6378,2020-01-08,0,San_Marino,0.0
7619,2020-01-08,0,United_Kingdom,0.0
5272,2020-01-08,0,New_Zealand,0.0
1601,2020-01-08,405,China,0.0
7726,2020-01-08,0,United_States_of_America,0.0
211,2020-01-08,0,Algeria,0.0
3009,2020-01-08,0,Greece,0.0
7318,2020-01-08,0,Thailand,0.0
834,2020-01-08,0,Belarus,0.0
7042,2020-01-08,0,Sweden,0.0
4542,2020-01-08,0,Luxembourg,0.0
3824,2020-01-08,0,Israel,0.0
2209,2020-01-08,0,Ecuador,0.0
3916,2020-01-08,0,Italy,0.0
6744,2020-01-08,0,South_Korea,0.0
7527,2020-01-08,0,United_Arab_Emirates,0.0
6239,2020-01-08,0,Russia,0.0
4644,2020-01-08,0,Malaysia,0.0
5726,2020-01-08,0,Pakistan,0.0
7871,2020-01-08,0,Vietnam,0.0
2663,2020-01-08,0,France,0.0
3276,2020-01-08,0,Iceland,0.0
2297,2020-01-08,0,Egypt,0.0
4027,2020-01-08,0,Japan,0.0
4331,2020-01-08,0,Lebanon,0.0
1367,2020-01-08,0,Canada,0.0
7233,2020-01-08,0,Taiwan,0.0
2122,2020-01-08,0,Dominican_Republic,0.0
5915,2020-01-08,0,Philippines,0.0
2424,2020-01-08,0,Estonia,0.0
1442,2020-01-08,0,Cases_on_an_international_conveyance_Japan,0.0
6152,2020-01-08,0,Romania,0.0
719,2020-01-08,0,Bahrain,0.0
4198,2020-01-08,0,Kuwait,0.0
3724,2020-01-08,0,Ireland,0.0
336,2020-01-08,0,Armenia,0.0
73,2020-01-08,0,Afghanistan,0.0
5639,2020-01-08,0,Oman,0.0
2889,2020-01-08,0,Germany,0.0
529,2020-01-08,0,Austria,0.0
4909,2020-01-08,0,Monaco,0.0
5553,2020-01-08,0,Norway,0.0
7725,2020-01-09,0,United_States_of_America,0.0
7041,2020-01-09,0,Sweden,0.0
4456,2020-01-09,0,Lithuania,0.0
1441,2020-01-09,0,Cases_on_an_international_conveyance_Japan,0.0
5459,2020-01-09,0,North_Macedonia,0.0
3633,2020-01-09,0,Iraq,0.0
718,2020-01-09,0,Bahrain,0.0
5376,2020-01-09,0,Nigeria,0.0
7870,2020-01-09,0,Vietnam,0.0
5638,2020-01-09,0,Oman,0.0
3723,2020-01-09,0,Ireland,0.0
1600,2020-01-09,464,China,0.0
4908,2020-01-09,0,Monaco,0.0
6238,2020-01-09,0,Russia,0.0
7526,2020-01-09,0,United_Arab_Emirates,0.0
